rank,name
1,Mega Heracross
2,Mega Pinsir
3,Mega Scizor
4,Shadow Vikavolt
5,Mega Beedrill
6,Volcarona
7,Shadow Scizor
8,Shadow Pinsir
9,Mega Sceptile
10,Shadow Metagross
11,Genesect (Shock Drive)
12,Genesect
13,Genesect (Douse Drive)
14,Genesect (Chill Drive)
15,Genesect (Burn Drive)
16,Shadow Scyther
17,Shadow Escavalier
18,Kleavor
19,Vikavolt
20,Pheromosa
21,Shadow Heatran
22,Yanmega
23,Scizor
24,Pinsir
25,Golisopod
26,Metagross
27,Frosmoth
28,Shadow Scolipede
29,Shadow Accelgor
30,Shadow Crustle
31,Escavalier
32,Shadow Sneasler
33,Scyther
34,Shadow Samurott
35,Shadow Galvantula
36,Shadow Sceptile
37,Durant
38,Kartana
39,Heracross
40,Leavanny
41,Accelgor
42,Heatran
43,Mega Absol
44,Shadow Venomoth
45,Scolipede
46,Kingambit
47,Xerneas
48,Keldeo (Ordinary Forme)
49,Shadow Nidoking
50,Lokix
