rank,name
1,Mega Tyranitar
2,Shadow Tyranitar
3,Mega Absol
4,Mega Houndoom
5,Shadow Salamence
6,Mega Salamence
7,Shadow Weavile
8,Tyranitar
9,Hydreigon
10,Mega Gyarados
11,Darkrai
12,Shadow Absol
13,Kingambit
14,Mega Gengar
15,Yveltal
16,Shadow Houndoom
17,Incineroar
18,Mega Ampharos
19,Salamence
20,Shadow Honchkrow
21,Weavile
22,Shadow Conkeldurr
23,Guzzlord
24,Absol
25,Hoopa Unbound
26,Urshifu (Single Strike Style)
27,Zarude
28,Shadow Shiftry
29,Shadow Alolan Muk
30,Zoroark
31,Houndoom
32,Therian Forme Thundurus
33,Honchkrow
34,Mega Blastoise
35,Mega Manectric
36,Bisharp
37,Shadow Gyarados
38,Regidrago
39,Krookodile
40,Hisuian Samurott
41,Conkeldurr
42,Shadow Gengar
43,Dusk Mane Necrozma
44,Shadow Ampharos
45,Shadow Archeops
46,Shadow Crawdaunt
47,Mienshao
48,Mega Aerodactyl
49,Dawn Wings Necrozma
50,Shadow Luxray
