rank,name
1,Raikou
2,Regieleki
3,Xurkitree
4,Manectric
5,Electivire
6,Zapdos
7,Zekrom
8,Thundurus
9,Magnezone
10,Ampharos
11,Mewtwo
12,Raikou
13,Vikavolt
14,Luxray
15,Golem
16,Kyurem
17,Electivire
18,Zapdos
19,Magnezone
20,Arcanine
21,Mewtwo
22,Manectric
23,Koko
24,Luxray
25,Vikavolt
26,Pawmot
27,Kyogre
28,Thundurus
29,Zebstrika
30,Golem
31,Ampharos
32,Dragonite
33,Porygon-Z
34,Magneton
35,Dialga
36,Jolteon
37,Zacian
38,Lucario
39,Toxtricity
40,Toxtricity
41,Gardevoir
42,Manectric
43,Electabuzz
44,Magmortar
45,Arcanine
46,Ursaluna
47,Genesect
48,Eelektross
49,Meloetta
50,Zebstrika
