rank,name
1,Gardevoir
2,Zacian
3,Alakazam
4,Gardevoir
5,Enamorus
6,Lele
7,Koko
8,Bulu
9,Xerneas
10,Xurkitree
11,Gallade
12,Latias
13,Zacian
14,Gardevoir
15,Togekiss
16,Granbull
17,Diancie
18,Hatterene
19,Latias
20,Alakazam
21,Banette
22,Sylveon
23,Primarina
24,Donphan
25,Meloetta
26,Tyrantrum
27,Granbull
28,Gallade
29,Ninetales
30,Ursaring
31,Gholdengo
32,Fini
33,Beartic
34,Alakazam
35,Altaria
36,Rapidash
37,Florges
38,Slaking
39,Meowscarada
40,Zamazenta
41,Latias
42,Clefable
43,Lunala
44,Donphan
45,Tyrantrum
46,Ribombee
47,Mawile
48,Roserade
49,Mismagius
50,Mew
