rank,name
1,Lucario
2,Heracross
3,Blaziken
4,Terrakion
5,Conkeldurr
6,Latios
7,Lucario
8,Keldeo
9,Raikou
10,Machamp
11,Alakazam
12,Latios
13,Hariyama
14,Gallade
15,Urshifu
16,Urshifu
17,Latias
18,Lopunny
19,Conkeldurr
20,Mewtwo
21,Annihilape
22,Marshadow
23,Raikou
24,Blaziken
25,Decidueye
26,Latias
27,Sirfetch'd
28,Machamp
29,Emboar
30,Latios
31,Hariyama
32,Zapdos
33,Buzzwole
34,Toxicroak
35,Gengar
36,Virizion
37,Cobalion
38,Breloom
39,Sneasler
40,Zacian
41,Hawlucha
42,Pinsir
43,Dragonite
44,Poliwrath
45,Gallade
46,Kyurem
47,Mewtwo
48,Sawk
49,Passimian
50,Blaziken
