rank,name
1,Mega Blaziken
2,Mega Y Charizard
3,Shadow Heatran
4,Mega X Charizard
5,Reshiram
6,Shadow Moltres
7,Shadow Entei
8,Apex Shadow Ho-Oh
9,Shadow Blaziken
10,Shadow Emboar
11,Shadow Charizard
12,Shadow Chandelure
13,Primal Groudon
14,Standard Mode Shadow Darmanitan
15,Heatran
16,Shadow Ho-Oh
17,Shadow Typhlosion
18,Mega Houndoom
19,Shadow Infernape
20,Blacephalon
21,Volcarona
22,Shadow Salamence
23,Mega Salamence
24,Victini
25,Shadow Magmortar
26,Delphox
27,Blaziken
28,Moltres
29,Shadow Arcanine
30,Chandelure
31,Emboar
32,Standard Mode Darmanitan
33,Darmanitan
34,Entei
35,White Kyurem
36,Charizard
37,Incineroar
38,Shadow Mewtwo
39,Mega Garchomp
40,Volcanion
41,Mega Lucario
42,Typhlosion
43,Infernape
44,Skeledirge
45,Ho-Oh
46,Flareon
47,Shadow Houndoom
48,Mega Alakazam
49,Salamence
50,Magmortar
