rank,name
1,Mega Rayquaza
2,Rayquaza
3,Mega Salamence
4,Shadow Salamence
5,Shadow Moltres
6,Yveltal
7,Shadow Staraptor
8,Mega Pidgeot
9,Shadow Zapdos
10,Incarnate Forme Enamorus
11,Galarian Articuno
12,Salamence
13,Crowned Sword Zacian
14,Apex Shadow Lugia
15,Moltres
16,Mega Y Charizard
17,Staraptor
18,Braviary
19,Shadow Lugia
20,Therian Forme Tornadus
21,Galarian Zapdos
22,Shadow Vikavolt
23,Shadow Unfezant
24,Shadow Honchkrow
25,Shadow Ho-Oh
26,Apex Shadow Ho-Oh
27,Zapdos
28,Mega Blaziken
29,Galarian Moltres
30,Hisuian Braviary
31,Shadow Toucannon
32,Shadow Dragonite
33,Honchkrow
34,Incarnate Forme Tornadus
35,Vikavolt
36,Unfezant
37,Lugia
38,Bombirdier
39,Shadow Talonflame
40,Shadow Sirfetch'd
41,Kartana
42,Ho-Oh
43,Shadow Charizard
44,Shadow Scyther
45,Toucannon
46,Mega X Charizard
47,Mega Sceptile
48,Shadow Swanna
49,Shadow Empoleon
50,Shadow Archeops
