rank,name
1,Necrozma
2,Gengar
3,Mewtwo
4,Banette
5,Chandelure
6,Alakazam
7,Lunala
8,Gengar
9,Cursola
10,Kyurem
11,Dragapult
12,Giratina
13,Lucario
14,Blacephalon
15,Gholdengo
16,Giratina
17,Chandelure
18,Gardevoir
19,Necrozma
20,Mewtwo
21,Annihilape
22,Confined
23,Gengar
24,Unbound
25,Raikou
26,Polteageist
27,Polteageist
28,Polteageist
29,Darkrai
30,Typhlosion
31,Dhelmise
32,Mismagius
33,Alakazam
34,Drifblim
35,Giratina
36,Zoroark
37,Skeledirge
38,Annihilape
39,Banette
40,Gardevoir
41,Golurk
42,Ceruledge
43,Raikou
44,Trevenant
45,Dusknoir
46,Mismagius
47,Alakazam
48,Houndstone
49,Runerigus
50,Cofagrigus
