rank,name
1,Mega Sceptile
2,Kartana
3,Mega Venusaur
4,Sky Forme Shaymin
5,Zarude
6,Primal Groudon
7,Shadow Tangrowth
8,Shadow Venusaur
9,Shadow Torterra
10,Shadow Sceptile
11,Xurkitree
12,Mega Gallade
13,Rillaboom
14,Mega Latios
15,Roserade
16,Meowscarada
17,Tapu Bulu
18,Chesnaught
19,Shadow Groudon
20,Decidueye
21,Shadow Meganium
22,Shadow Exeggutor
23,Tangrowth
24,Shadow Alolan Exeggutor
25,Tsareena
26,Venusaur
27,Sceptile
28,Shadow Porygon-Z
29,Mega Gardevoir
30,Torterra
31,Shadow Victreebel
32,Shadow Serperior
33,Shadow Latios
34,Celebi
35,Breloom
36,Shadow Tangela
37,Incarnate Forme Enamorus
38,Shadow Sirfetch'd
39,Shadow Shiftry
40,Shadow Gallade
41,Gogoat
42,Leafeon
43,Shadow Ho-Oh
44,Apex Shadow Ho-Oh
45,Mega Abomasnow
46,Shadow Vileplume
47,Arboliva
48,Simisage
49,Exeggutor
50,Shadow Ursaluna
