rank,name
1,Groudon
2,Garchomp
3,Groudon
4,Garchomp
5,Landorus
6,Excadrill
7,Rhyperior
8,Mamoswine
9,Groudon
10,Swampert
11,Garchomp
12,Rhydon
13,Excadrill
14,Golurk
15,Landorus
16,Hippowdon
17,Rhyperior
18,Mamoswine
19,Heracross
20,Donphan
21,Ursaluna
22,Golem
23,Heatran
24,Torterra
25,Flygon
26,Metagross
27,Sceptile
28,Swampert
29,Entei
30,Rhydon
31,Aerodactyl
32,Krookodile
33,Golurk
34,Nidoqueen
35,Nidoking
36,Gliscor
37,Hippowdon
38,Donphan
39,Magmortar
40,Gigalith
41,Kangaskhan
42,Vikavolt
43,Sandslash
44,Ursaluna
45,Golem
46,Beedrill
47,Staraptor
48,Ho-Oh
49,Ho-Oh
50,Flygon
