rank,name
1,Kyurem
2,Kyurem
3,Mamoswine
4,Zamazenta
5,Mewtwo
6,Weavile
7,Baxcalibur
8,Kyogre
9,Abomasnow
10,Gardevoir
11,Darmanitan
12,Mamoswine
13,Glalie
14,Aurorus
15,Rime
16,Articuno
17,Kyurem
18,Glaceon
19,Mewtwo
20,Weavile
21,Cetitan
22,Lopunny
23,Porygon-Z
24,Kyogre
25,Abomasnow
26,Vanilluxe
27,Cloyster
28,Walrein
29,Regice
30,Gardevoir
31,Rime
32,Avalugg
33,Ursaluna
34,Piloswine
35,Aurorus
36,Genesect
37,Ninetales
38,Jynx
39,Avalugg
40,Lapras
41,Articuno
42,Blastoise
43,Frosmoth
44,Porygon-Z
45,Beartic
46,Cryogonal
47,Electivire
48,Annihilape
49,Kyogre
50,Marshadow
