rank,name
1,Shadow Regigigas
2,Regigigas
3,Crowned Sword Zacian
4,Mega Lopunny
5,Shadow Porygon-Z
6,Shadow Mewtwo
7,Aria Forme Meloetta
8,Porygon-Z
9,Xerneas
10,Shadow Ursaluna
11,Crowned Shield Zamazenta
12,Mewtwo
13,Shadow Dragonite
14,Shadow Staraptor
15,Shadow Porygon2
16,Shadow Snorlax
17,Mega Diancie
18,Shadow Rhyperior
19,Regieleki
20,Mega Aerodactyl
21,Shadow Ho-Oh
22,Apex Shadow Ho-Oh
23,Genesect
24,Ursaluna
25,Yveltal
26,Shadow Ambipom
27,Bewear
28,Shadow Ursaring
29,Tapu Koko
30,Nihilego
31,Dragonite
32,Shadow Slaking
33,Shadow Flygon
34,Staraptor
35,Porygon2
36,Standard Mode Shadow Darmanitan
37,Mew
38,Victini
39,Mega Blastoise
40,Shadow Donphan
41,Espeon
42,Sky Forme Shaymin
43,Shadow Luxray
44,Rillaboom
45,Kommo-o
46,Ambipom
47,Cinccino
48,Inteleon
49,Leafeon
50,Snorlax
