rank,name
1,Eternatus
2,Mega Gengar
3,Mega Beedrill
4,Nihilego
5,Naganadel
6,Roserade
7,Shadow Toxicroak
8,Shadow Gengar
9,Overqwil
10,Shadow Sneasler
11,Shadow Scolipede
12,Shadow Muk
13,Shadow Alolan Muk
14,Darkrai
15,Shadow Vileplume
16,Mega Venusaur
17,Shadow Skuntank
18,Revavroom
19,Shadow Victreebel
20,Keldeo (Ordinary Forme)
21,Shadow Conkeldurr
22,Gengar
23,Shadow Venusaur
24,Toxicroak
25,Shadow Nidoking
26,Shadow Drapion
27,Shadow Tangrowth
28,Scolipede
29,Sneasler
30,Vileplume
31,Alolan Muk
32,Muk
33,Victreebel
34,Galarian Slowbro
35,Mega Swampert
36,Volcanion
37,Skuntank
38,Shadow Nidoqueen
39,Grafaiai
40,Genesect (Douse Drive)
41,Marshadow
42,Shadow Crobat
43,Conkeldurr
44,Venusaur
45,Breloom
46,Salazzle
47,Shadow Sawk
48,Shadow Tentacruel
49,Hisuian Qwilfish
50,Nidoking
