rank,name
1,Mewtwo
2,Alakazam
3,Mewtwo
4,Gallade
5,Gardevoir
6,Latios
7,Regigigas
8,Unbound
9,Latios
10,Metagross
11,Latias
12,Necrozma
13,Necrozma
14,Alakazam
15,Lunala
16,Gallade
17,Gardevoir
18,Exeggutor
19,Latias
20,Regigigas
21,Latios
22,Gengar
23,Confined
24,Metagross
25,Espeon
26,Rime
27,Alakazam
28,Slowbro
29,Articuno
30,Lele
31,Meloetta
32,Gallade
33,Gardevoir
34,Necrozma
35,Exeggutor
36,Lugia
37,Lugia
38,Azelf
39,Starmie
40,Latias
41,Victini
42,Jirachi
43,Celebi
44,Hatterene
45,Reuniclus
46,Delphox
47,Ho-Oh
48,Ho-Oh
49,Darmanitan
50,Landorus
