rank,name
1,Mega Diancie
2,Shadow Rhyperior
3,Mega Tyranitar
4,Shadow Rampardos
5,Mega Aerodactyl
6,Shadow Tyrantrum
7,Shadow Tyranitar
8,Shadow Gigalith
9,Rhyperior
10,Mega Rayquaza
11,Rampardos
12,Shadow Aurorus
13,Terrakion
14,Shadow Aggron
15,Tyrantrum
16,Shadow Aerodactyl
17,Gigalith
18,Tyranitar
19,Mega Heracross
20,Shadow Omastar
21,Shadow Golem
22,Shadow Alolan Golem
23,Shadow Archeops
24,Shadow Crustle
25,Mega Aggron
26,Stonjourner
27,Black Kyurem
28,Shadow Excadrill
29,Aurorus
30,Nihilego
31,Kleavor
32,Mega Blastoise
33,Shadow Hippowdon
34,Incarnate Forme Landorus
35,White Kyurem
36,Aggron
37,Shadow Regirock
38,Mega Blaziken
39,Shadow Armaldo
40,Aerodactyl
41,Standard Mode Shadow Darmanitan
42,Mega Ampharos
43,Stakataka
44,Archeops
45,Shadow Heatran
46,Omastar
47,Shadow Moltres
48,Shadow Zapdos
49,Shadow Carracosta
50,Shadow Machamp
