rank,name
1,Crowned Sword Zacian
2,Crowned Shield Zamazenta
3,Dusk Mane Necrozma
4,Shadow Metagross
5,Shadow Dialga
6,Metagross
7,Dawn Wings Necrozma
8,Shadow Excadrill
9,Origin Forme Dialga
10,White Kyurem
11,Dialga
12,Mega Lucario
13,Melmetal
14,Mega Aggron
15,Genesect (Shock Drive)
16,Genesect
17,Genesect (Douse Drive)
18,Genesect (Chill Drive)
19,Genesect (Burn Drive)
20,Mega Tyranitar
21,Mega Scizor
22,Shadow Dragonite
23,Shadow Ho-Oh
24,Apex Shadow Ho-Oh
25,Excadrill
26,Jirachi
27,Shadow Aggron
28,Mega Aerodactyl
29,Kingambit
30,Shadow Empoleon
31,Shadow Tyranitar
32,Shadow Heatran
33,Shadow Scizor
34,Mega Pidgeot
35,Black Kyurem
36,Mega Steelix
37,Shadow Magnezone
38,Kyurem
39,Shadow Archeops
40,Shadow Machamp
41,Shadow Magneton
42,Bisharp
43,Shadow Kingler
44,Dragonite
45,Shadow Hariyama
46,Zamazenta (Hero of Many Battles)
47,Zacian (Hero of Many Battles)
48,Ho-Oh
49,Shadow Perrserker
50,Necrozma
