rank,name
1,Kyogre
2,Swampert
3,Kyogre
4,Blastoise
5,Gyarados
6,Swampert
7,Kyogre
8,Kingler
9,Samurott
10,Empoleon
11,Feraligatr
12,Gyarados
13,Quaquaval
14,Palkia
15,Primarina
16,Greninja
17,Kingler
18,Swampert
19,Samurott
20,Crawdaunt
21,Volcanion
22,Feraligatr
23,Empoleon
24,Salamence
25,Golisopod
26,Blastoise
27,Clawitzer
28,Milotic
29,Gyarados
30,Palkia
31,Salamence
32,Samurott
33,Inteleon
34,Lapras
35,Politoed
36,Slowbro
37,Palkia
38,Starmie
39,Rhyperior
40,Omastar
41,Escavalier
42,Crawdaunt
43,Carracosta
44,Crabominable
45,Urshifu
46,Kingdra
47,Barbaracle
48,Keldeo
49,Kabutops
50,Genesect
