Pokemon,XL
帕路奇亞,1.0
酋雷姆,1.0
基格爾德,1.0
美洛耶塔,1.0
索爾迦雷歐,1.0
卡璞・蝶蝶,1.0
花潔夫人,1.0
酋雷姆,1.0
帕路奇亞,1.0
帕路奇亞,1.0
超甲狂犀,1.0
哲爾尼亞斯,1.0
土地雲,1.0
帝牙盧卡,1.0
鳳王,1.0
奈克洛茲瑪,1.0
萊希拉姆,1.0
奈克洛茲瑪,1.0
超甲狂犀,1.0
鳳王,1.0
酋雷姆,1.0
捷克羅姆,1.0
瑪夏多,1.0
固拉多,1.0
伊裴爾塔爾,1.0
騎拉帝納,1.0
快龍,1.0
蒼響,1.0
超夢,1.0
快龍,1.0
席多藍恩,1.0
固拉多,1.0
騎拉帝納,1.0
藏瑪然特,1.0
卡璞・哞哞,1.0
帝牙盧卡,1.0
超夢,1.0
薩戮德,1.0
暴鯉龍,1.0
月月熊,1.0
棄世猴,1.0
暴鯉龍,1.0
眷戀雲,1.0
席多藍恩,1.0
月月熊,1.0
棄世猴,1.0
黏美龍,1.0
洛奇亞,1.0
閃電鳥,1.0
冰岩怪,1.0
多龍巴魯托,1.0
賽富豪,1.0
烈咬陸鯊,1.0
閃電鳥,1.0
具甲武者,1.0
蓋歐卡,1.0
火焰鳥,1.0
凱路迪歐,1.0
雷公,1.0
象牙豬,1.0
河馬獸,1.0
三首惡龍,1.0
拉帝歐斯,1.0
夢幻,1.0
勾帕路翁,1.0
巨金怪,1.0
美錄梅塔,1.0
象牙豬,1.0
戟脊龍,1.0
拉帝歐斯,1.0
蓋諾賽克特,1.0
波克基斯,1.0
雷公,1.0
骨紋巨聲鱷,1.0
畢力吉翁,1.0
雷吉洛克,1.0
大狃拉,1.0
杖尾鱗甲龍,1.0
蓋歐卡,1.0
紅蓮鎧騎,1.0
洛奇亞,1.0
西獅海壬,1.0
代拉基翁,1.0
虛吾伊德,1.0
冰岩怪,1.0
大力鱷,1.0
基拉祈,1.0
巨沼怪,1.0
大力鱷,1.0
卡璞・鰭鰭,1.0
